ID,createdAt,createdBy,modifiedAt,modifiedBy,option_label,question_ID
0bd96e9f-503a-49f1-817a-b682d8a72f63,2022-02-08T05:51:20.401Z,anonymous,2022-02-08T05:51:20.401Z,anonymous,Yes,04592356-f638-4d00-8353-03bdd0e18301
1e014750-7998-4ce3-84b5-e48da59c9b0b,2022-02-08T05:51:34.390Z,anonymous,2022-02-08T05:51:34.390Z,anonymous,Yes,ad0cd264-20da-4929-8744-19fe8ba80585
3fd5f96a-7672-40e0-8b8a-9d603ad34bc0,2022-02-08T05:51:45.845Z,anonymous,2022-02-08T05:51:45.845Z,anonymous,Yes,98370c22-62c9-4f8f-96f5-87d8fb7f9fc9
4ac6dcf3-110a-443b-b67b-a4f71095502b,2022-02-08T05:51:59.280Z,anonymous,2022-02-08T05:51:59.280Z,anonymous,No,37171863-6eb7-493a-9f6f-c87274bdc942
558335ad-10a2-4be0-b1db-b57893a38dfc,2022-02-08T05:52:13.574Z,anonymous,2022-02-08T05:52:13.574Z,anonymous,Automate manual update of delivery with picked quantity in the system and then perform post goods issue.,2c74c971-850a-44b8-9771-52ceef27820d
56890234-49b5-4ab5-b89c-03e94b0fb1a4,2022-02-08T05:52:33.319Z,anonymous,2022-02-08T05:52:33.319Z,anonymous,Automatic Sales Order Creation,2c74c971-850a-44b8-9771-52ceef27820d
77d2b49a-c576-4ba7-9edd-742414116fab,2022-02-08T05:52:44.998Z,anonymous,2022-02-08T05:52:44.998Z,anonymous,Create a business partner based on text data in email/spreadsheets,2c74c971-850a-44b8-9771-52ceef27820d
84232b79-2e02-42b3-ac4f-9d06dbe4d534,2022-02-08T05:52:57.907Z,anonymous,2022-02-08T05:52:57.907Z,anonymous,No,04592356-f638-4d00-8353-03bdd0e18301
9d952bcf-f6b5-4ef1-8a1b-bb6fd2b3a40c,2022-02-08T05:53:08.574Z,anonymous,2022-02-08T05:53:08.574Z,anonymous,,b660117b-9829-45bd-b534-68fc145e43a5
b7ed8bb4-89ba-4df6-8a47-ae87fe170e22,2022-02-08T05:53:32.956Z,anonymous,2022-02-08T05:53:32.956Z,anonymous,No,ad0cd264-20da-4929-8744-19fe8ba80585
bc8554b7-61f9-465b-a1ad-310d555e684a,2022-02-08T05:53:51.318Z,anonymous,2022-02-08T05:53:51.318Z,anonymous,No,11a33f74-15a5-44cd-be98-3096b31056f0
c289a740-af62-4489-bc3d-98da215f9581,2022-02-08T05:54:04.686Z,anonymous,2022-02-08T05:54:04.686Z,anonymous,Auto upload of supplier invoices,2c74c971-850a-44b8-9771-52ceef27820d
f153c2aa-734d-4ca8-9263-f852561719c4,2022-02-08T05:54:16.199Z,anonymous,2022-02-08T05:54:16.199Z,anonymous,Yes,11a33f74-15a5-44cd-be98-3096b31056f0
f5a104a8-1ae0-438a-92dd-0e982f7be99f,2022-02-08T05:54:27.948Z,anonymous,2022-02-08T05:54:27.948Z,anonymous,Automatic upload of GL Entries,2c74c971-850a-44b8-9771-52ceef27820d
f6559406-3b4d-45d1-b20e-3b281d24b548,2022-02-08T05:54:38.337Z,anonymous,2022-02-08T05:54:38.337Z,anonymous,Yes,37171863-6eb7-493a-9f6f-c87274bdc942
f90fc4d3-3865-4480-8df0-33733c3d46e7,2022-02-08T05:54:51.286Z,anonymous,2022-02-08T05:54:51.286Z,anonymous,No,98370c22-62c9-4f8f-96f5-87d8fb7f9fc9